codigo,produto,unidade_medida,estoque_minimo,validade_dias
OLE-005,OLEO DE COPAIBA 100ML,un,10,
OLE-006,OLEO DE COPAIBA 60ML,un,10,
OLE-007,OLEO DE COPAIBA 30ML,un,10,
OLE-008,OLEO DE COPAIBA 20ML,un,10,
OLE-009,OLEO DE COPAIBA 10ML,un,10,
OLE-010,OLEO DE ANDIROBA 1LT,un,10,
OLE-011,OLEO DE ANDIROBA 500ML,un,10,
OLE-012,OLEO DE ANDIROBA 200ML,un,10,
OLE-013,OLEO DE ANDIROBA 100ML,un,10,
OLE-014,OLEO DE ANDIROBA 60ML,un,10,
OLE-015,OLEO DE ANDIROBA 30ML,un,10,
OLE-016,OLEO DE COCO 500ML,un,10,
OLE-017,OLEO DE COCO 200ML,un,10,
OLE-018,OLEO DE COCO 100ML,un,10,
OLE-019,OLEO DE COCO 60ML,un,10,
OLE-020,OLEO DE COCO 30ML,un,10,
TEM-031,COLORAL 1KG,un,10,
TEM-032,COLORAL 500G,un,10,
GEL-014,GEL DE ARNICA NATULIFE,un,10,
LEI-001,LEITE DE AMAPA 500ML,un,10,
LEI-002,LEITE DE AMAPA 200ML,un,10,
LEI-003,LEITE DE AMAPA 100ML,un,10,
LEI-004,LEITE DE SUCUBA 500ML,un,10,
LEI-005,LEITE DE SUCUBA 200ML,un,10,
LEI-006,LEITE DE SUCUBA 100ML,un,10,
GEL-015,GEL 30 ERVAS MARYLIFE,un,10,
SAL-004,SAL VIRGEM 1KG,un,10,
CAS-002,CASCA DE BARBATIMAO,g,1000,
CAS-003,CASCA DE VERONICA,g,1000,
CAS-004,CASCA DE UXI AMARELO,g,1000,
CAS-005,CASCA DE UNHA DE GATO,g,1000,
CAS-006,CASCA DE AROEIRA,g,1000,
CAS-007,FAVA DE JUCA,g,1000,
CAS-008,CASCA DE SUCUBA,g,1000,
ERV-025,ESPINHEIRA SANTA,g,1000,
OLE-021,OLEO DE R. MOSQUETA 200ML,un,10,
OLE-022,OLEO DE R. MOSQUETA 100ML,un,10,
OLE-023,OLEO DE R. MOSQUETA 60ML,un,10,
OLE-024,OLEO DE R. MOSQUETA 30ML,un,10,
OLE-025,OLEO DE R. MOSQUETA 20ML,un,10,
OLE-026,OLEO DE R. MOSQUETA 10ML,un,10,
OLE-027,OLEO DE ALECRIM 100ML,un,10,
OLE-028,OLEO DE ALECRIM 60ML,un,10,
OLE-029,OLEO DE ALECRIM 30ML,un,10,
OLE-030,OLEO DE ALECRIM 20ML,un,10,
OLE-031,OLEO DE RICINO(MAMONA) 500ML,un,10,
OLE-032,OLEO DE RICINO(MAMONA) 200ML,un,10,
OLE-033,OLEO DE RICINO(MAMONA) 100ML,un,10,
OLE-034,OLEO DE RICINO(MAMONA) 30ML,un,10,
OLE-035,OLEO DE BABOSA 100ML,un,10,
OLE-036,OLEO DE BABOSA 60ML,un,10,
OLE-037,OLEO DE BABOSA 30ML,un,10,
ERV-026,ALFAZEMA,g,1000,
GRA-035,COMINHO,g,1000,
ERV-027,FOLHA DE LOURO,g,1000,
OUT-002,XAROPE DE GUARANÁ,un,10,
MIX-001,MIX DE FIBRAS,un,10,
MIX-002,MIX SUPER ENERGETICO,un,10,
GRA-036,CASTANHA DO PARÁ INT,g,1000,
GRA-037,CASTANHA DO PARÁ QUE,g,1000,
GRA-038,QUINOA PRETA,g,1000,
PO-038,MARAPUAMA EM PO,g,1000,
PO-039,FARINHA DA FELICIDADE,g,1000,
GRA-039,SEMENTE DE CHIA PREMIUM,g,1000,
GRA-040,GRANOLA C. CASTANHA E COCO,g,1000,
OUT-003,AGUARDENTE ALEMA 100ML,un,10,
OUT-004,AGUARDENTE ALEMA 200ML,un,10,
OUT-005,AMARGOFIG 120ML,un,10,
OUT-006,EXTRATO DE PROPOLIS 30% 20ML,un,10,
OUT-007,GLICERINA SOBRAL 100ML,un,10,
OUT-008,AGUA INGLESA 430ML,un,10,
OLE-038,OLEO DE AMENDOAS 30ML,un,10,
OLE-039,OLEO DE GIRASSOL 50ML,un,10,
